Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9611238970700848,0.9724879024763127,0.01136400540622784,True
AUPR,0.9598856875417164,0.9773740789367571,0.01748839139504066,True
Accuracy,0.8980962181631078,0.9389791924908982,0.04088297432779042,True
Precision,0.8872714754132052,0.94915538262547,0.06188390721226478,True
Recall,0.91349942423205,0.9277208925959354,0.014221468363885381,True
F1-score,0.8997884800694154,0.938255186288775,0.03846670621935966,True
Mcc,0.7972959521227869,0.8782863354069225,0.08099038328413555,True
