Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,259.29,0.2608,0.36627,0.50129,0.50129,1.0,0.66781,0.0
2,261.8,0.25134,0.3658,0.50129,0.50129,1.0,0.66781,0.0
3,264.23,0.28142,0.37885,0.50129,0.50129,1.0,0.66781,0.0
4,266.78,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
5,269.33,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
6,271.73,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
7,276.01,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
8,287.28,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
9,288.8,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
10,290.24,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
11,291.69,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
12,293.24,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
13,294.82,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
14,297.11,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
15,299.54,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
16,301.94,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
17,304.38,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
18,306.83,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
19,309.27,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
20,311.72,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
21,314.2,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
22,316.63,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
23,319.14,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
24,321.67,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
25,324.13,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
26,326.57,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
27,329.03,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
28,331.48,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
29,333.98,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
30,336.51,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
31,339.04,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
32,341.45,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
33,343.86,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
34,346.32,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
35,348.8,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
36,351.28,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
37,353.71,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
38,356.2,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
39,358.73,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
40,361.22,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
41,363.67,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
42,366.15,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
43,368.6,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
44,371.07,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
45,373.55,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
46,375.99,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
47,378.44,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
48,381.0,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
49,383.47,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
50,386.08,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
51,388.69,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
52,391.17,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
53,393.61,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
54,396.03,0.5,0.75065,0.50129,0.50129,1.0,0.66781,0.0
