epoch,time,loss,auc,aupr,accuracy,precision,recall,f1,mcc
1,3087.3321496999997,0.1726006269454956,0.6384193786009468,0.6178358332829833,0.4993212055389628,0.49959250203748984,0.9989136338946225,0.6660630206446939,-0.023315783166414066
2,3087.924142599999,0.35710862278938293,0.785484420790523,0.7521771834327123,0.5343469997284822,0.5178268251273345,0.9940249864204237,0.6809302325581396,0.1749600775791702
3,3088.5353307999994,0.1561262160539627,0.7915154630237426,0.7652795542789669,0.6877545479228889,0.8001737619461338,0.5002715915263444,0.6156417112299465,0.40495328268577163
4,3089.158124399999,0.10779290646314621,0.7927525167186554,0.7682880162127843,0.6312788487645941,0.8267929634641408,0.33188484519282996,0.47364341085271316,0.32759435179345714
5,3089.778471899999,0.15427154302597046,0.7937060359373682,0.7694011927371575,0.6535433070866141,0.818489289740699,0.39435089625203695,0.532258064516129,0.3589245402945491
6,3090.3876086,0.13776621222496033,0.7934913577276195,0.7690489811288292,0.712191148520228,0.7580964970257766,0.6230309614340033,0.6839594514013119,0.4312509829958941
7,3091.003623999999,0.09860221296548843,0.7922472267290885,0.7674695751519616,0.6872115123540592,0.6323472915866308,0.8940793047256925,0.7407740774077408,0.411353822517821
8,3091.624942999999,0.08876947313547134,0.7912183637156078,0.7668284915486525,0.5476513711648113,0.5250501002004008,0.9961977186311787,0.6876640419947506,0.21597787969935897
9,3092.2463862000004,0.10208646953105927,0.791365807540985,0.7673948503534169,0.5006787944610372,0.5002717391304348,1.0,0.6669081688099981,0.028544260709128123
10,3092.8522367000005,0.10642187297344208,0.7922675739769905,0.7690988974362956,0.5153407548194406,0.5077348066298343,0.9983704508419338,0.6731367881340414,0.11932184527217539
11,3093.4636852000003,0.0987381860613823,0.7933627867118906,0.770736351886169,0.6147162639152864,0.5674984005118362,0.9636067354698533,0.7143144755385544,0.3204520082808834
12,3094.085782799999,0.08743658661842346,0.7943311977569666,0.7721773132109392,0.7149063263643769,0.676483712628291,0.8234655078761542,0.7427731504164625,0.4403590140566855
13,3094.6966021999997,0.08193214982748032,0.7952291306535123,0.7737354446232692,0.6986152592994841,0.7839937839937839,0.5480717001629549,0.6451406649616368,0.41647819724520263
14,3095.3235540999995,0.08347492665052414,0.7963893661154037,0.7752710510547431,0.6535433070866141,0.8243398392652124,0.3900054318305269,0.5294985250737463,0.3611714998703317
