Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,-1.0,0.9679771379733989,0.9783905179252947,0.9457364341085271,0.9779005524861878,0.9123711340206185,0.944,0.8935090660892189
Fold 1,-1.0,0.9542492388227124,0.9633126848312777,0.9250645994832042,0.9661016949152542,0.8814432989690721,0.9218328840970349,0.8534608794846426
Fold 2,-1.0,0.9714758826985739,0.9742634394629979,0.9302325581395349,0.9513513513513514,0.9072164948453608,0.928759894459103,0.8614130065397596
Fold 3,-1.0,0.9674963944233748,0.9719810205642951,0.9302325581395349,0.9368421052631579,0.9222797927461139,0.9295039164490861,0.8605620369103526
Fold 4,208.0,0.9741066182362053,0.9805678664501658,0.9405684754521964,0.967032967032967,0.9119170984455959,0.9386666666666666,0.8825463246036768
Fold 5,498.0,0.9688184391859409,0.9740370357812606,0.9147286821705426,0.9705882352941176,0.8549222797927462,0.9090909090909091,0.8353294964170386
Fold 6,-1.0,0.97669736100298,0.9747447903978261,0.9378238341968912,0.9470899470899471,0.927461139896373,0.9371727748691099,0.875835792609696
Fold 7,-1.0,0.9678783323042228,0.9721738101219206,0.9248704663212435,0.9226804123711341,0.927461139896373,0.9250645994832042,0.8497523390969202
Fold 8,-1.0,0.9742140728610164,0.9754312518153437,0.9585492227979274,0.9682539682539683,0.9481865284974094,0.9581151832460734,0.9172954751000959
Fold 9,198.0,0.9639453408145184,0.9690788825830075,0.9222797927461139,0.9358288770053476,0.9067357512953368,0.9210526315789473,0.84496800184351
Mean,89.7,0.9686858818322944,0.973398129993339,0.9330086623555716,0.9543670111063433,0.9099994658404998,0.9313259459940134,0.8674672418694911
Std,166.67269989080063,0.006371721195337513,0.004799448560752353,0.012861100924596757,0.018332750448609526,0.026024621417297847,0.01376602668805551,0.024926164045339802
