Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9621115780593354,0.9646529345098248,0.0025413564504893627,False
AUPR,0.9600577352734184,0.9605905391032602,0.000532803829841777,False
Accuracy,0.9018601242681508,0.9066008684737781,0.004740744205627312,False
Precision,0.8905006266069678,0.8929085454436148,0.0024079188366469273,False
Recall,0.91706918552177,0.924561949519156,0.007492763997386076,False
F1-score,0.90339873212613,0.9083125238974616,0.004913791771331666,False
Mcc,0.8044401017696409,0.8139981935536967,0.009558091784055867,False
