Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9521281135894328,0.9696537207253609,0.0175256071359281,True
AUPR,0.9510014728454216,0.9757944968793927,0.0247930240339711,True
Accuracy,0.8836044503353817,0.9322374851053004,0.04863303476991865,True
Precision,0.870085185342966,0.9442648593338119,0.0741796739908459,True
Recall,0.902721542652636,0.919320549115966,0.0165990064633299,True
F1-score,0.8857901001484304,0.9312721995322282,0.04548209938379777,True
Mcc,0.7683400524309331,0.8653880268306249,0.09704797439969182,True
