epoch,time,loss,auc,aupr,accuracy,precision,recall,f1,mcc
1,2259.7797689999998,1.489668369293213,0.7926387285564713,0.7894499468129554,0.5854922279792746,0.5472779369627507,0.9896373056994818,0.7047970479704797,0.29040250908851784
2,2260.7352317,1.3218955993652344,0.7586512389594351,0.74516613864305,0.5,0.5,1.0,0.6666666666666666,0.0
3,2261.5973241,1.304636001586914,0.8137131198152971,0.8099350677456658,0.5880829015544041,0.5488505747126436,0.9896373056994818,0.7060998151571164,0.29566335232293506
4,2262.4521784999997,1.2684495449066162,0.8098203978630298,0.7968681383451606,0.6062176165803109,0.5601173020527859,0.9896373056994818,0.7153558052434457,0.33097897779259655
5,2263.3085017999997,1.205845832824707,0.7872157641815888,0.7728589987428256,0.582901554404145,0.5457142857142857,0.9896373056994818,0.7034990791896868,0.28507865803991933
6,2264.1810384,1.2079623937606812,0.8050954388037264,0.8000026117619676,0.6113989637305699,0.5637982195845698,0.9844559585492227,0.7169811320754716,0.33462275086031806
7,2265.0931909,1.1672937870025635,0.8309753281967301,0.825736829886681,0.6191709844559585,0.5684523809523809,0.9896373056994818,0.722117202268431,0.35489770491281136
8,2265.9629379,1.1460109949111938,0.8445327391339364,0.8357442489124359,0.6373056994818653,0.5805471124620061,0.9896373056994818,0.7318007662835249,0.38702631310365426
9,2266.8241058,1.1130118370056152,0.843646809310317,0.83558740823098,0.6476683937823834,0.5876923076923077,0.9896373056994818,0.7374517374517375,0.4048258698102079
10,2267.7078609,1.084694504737854,0.8459555961233858,0.8395963561240022,0.6191709844559585,0.5684523809523809,0.9896373056994818,0.722117202268431,0.35489770491281136
11,2268.5257702999997,1.0659245252609253,0.8709764020510617,0.8645839069555676,0.6398963730569949,0.5823170731707317,0.9896373056994818,0.7332053742802304,0.3915099836318755
12,2269.3466820999997,1.0286005735397339,0.8832720341485678,0.8815257518804241,0.6865284974093264,0.6176470588235294,0.9792746113989638,0.7575150300601203,0.46017899330842227
13,2270.204151,1.0076277256011963,0.8941716556149159,0.8928967773344527,0.7098445595854922,0.6372881355932203,0.9740932642487047,0.7704918032786884,0.49437137313212837
14,2271.0695662,0.9859057068824768,0.8962119788450698,0.8955522731584646,0.6994818652849741,0.6270627062706271,0.9844559585492227,0.7661290322580646,0.4855459821595519
15,2271.8909482,0.9776564836502075,0.8952723563048672,0.8956374193878935,0.7901554404145078,0.7170542635658915,0.9585492227979274,0.8203991130820399,0.6163156344279367
16,2272.7432661,0.959296703338623,0.9060108996214664,0.9088203766107241,0.7668393782383419,0.6900369003690037,0.9689119170984456,0.8060344827586206,0.5834500200346121
17,2273.5680242,0.9487019777297974,0.9120781765953447,0.9153655393230942,0.8082901554404145,0.7351778656126482,0.9637305699481865,0.8340807174887891,0.648725366871555
18,2274.4232197,0.9230878353118896,0.9000778544390453,0.9035474323056486,0.7461139896373057,0.6678445229681979,0.9792746113989638,0.7941176470588235,0.556431586387478
19,2275.2547839,0.9247217178344727,0.9161051303390695,0.9164688199255593,0.8031088082901554,0.7330677290836654,0.9533678756476683,0.8288288288288287,0.635597406968452
20,2276.0925592999997,0.9000994563102722,0.9217428655802842,0.9230322255294985,0.8186528497409327,0.7530864197530864,0.9481865284974094,0.8394495412844037,0.659832884433199
21,2276.9517161999997,0.8857269883155823,0.9209643211898306,0.9230454519730705,0.7953367875647669,0.7192307692307692,0.9689119170984456,0.82560706401766,0.629843866925206
22,2277.7820501,0.8715663552284241,0.9235684179441059,0.9260065555169246,0.7772020725388601,0.6988847583643123,0.9740932642487047,0.8138528138528138,0.6031352436530586
23,2278.614103,0.8640427589416504,0.934736502993369,0.9349687422942221,0.844559585492228,0.7759336099585062,0.9689119170984456,0.8617511520737328,0.7114741386676299
24,2279.4758911999998,0.8465137481689453,0.9360788209079438,0.9374965069899941,0.8160621761658031,0.7420634920634921,0.9689119170984456,0.8404494382022472,0.6639068675891447
25,2280.3142874,0.8266959190368652,0.928159145211952,0.9300465485604309,0.8212435233160622,0.75,0.9637305699481865,0.8435374149659864,0.6702800625998364
26,2281.1546915999998,0.8187282681465149,0.928373916078284,0.9317009354887531,0.7849740932642487,0.706766917293233,0.9740932642487047,0.8191721132897603,0.6156887864045119
27,2281.9868403,0.8000381588935852,0.9394614620526726,0.9431765454576595,0.8160621761658031,0.7401574803149606,0.9740932642487047,0.8411633109619688,0.6662788182228991
28,2282.8291945,0.7898563146591187,0.9416897097908669,0.94517830001985,0.8212435233160622,0.748,0.9689119170984456,0.8442437923250563,0.6724844192378341
29,2283.6743721,0.7785474061965942,0.9399446965019195,0.9441879084494328,0.8341968911917098,0.7698744769874477,0.9533678756476683,0.8518518518518517,0.6882276115682283
30,2284.5076831,0.7678431868553162,0.9436494939461462,0.9483367910713407,0.8471502590673575,0.7863247863247863,0.9533678756476683,0.8618266978922716,0.710517985322952
31,2285.383968,0.7556072473526001,0.9465489006416279,0.9510709039188227,0.8341968911917098,0.7654320987654321,0.9637305699481865,0.8532110091743119,0.6920198544055502
32,2286.2570997,0.744510293006897,0.9474079841069559,0.9515840615908959,0.8471502590673575,0.7863247863247863,0.9533678756476683,0.8618266978922716,0.710517985322952
33,2287.1070368,0.7328424453735352,0.9515960160004295,0.9557731731619732,0.8704663212435233,0.820627802690583,0.9481865284974094,0.8798076923076923,0.750049289053222
34,2287.9920269,0.7172141671180725,0.9503610835190207,0.9555161342081324,0.844559585492228,0.7759336099585062,0.9689119170984456,0.8617511520737328,0.7114741386676299
35,2288.8439773,0.7124748229980469,0.9482670675722837,0.9546760133363512,0.8626943005181347,0.8070175438596491,0.9533678756476683,0.8741092636579572,0.7376189553526812
36,2289.6853857,0.7050867676734924,0.9474885231818304,0.954193066500294,0.8523316062176166,0.7931034482758621,0.9533678756476683,0.8658823529411765,0.7195062246738243
37,2290.5221278999998,0.6940913200378418,0.9484549920803242,0.9547737031808364,0.8341968911917098,0.7654320987654321,0.9637305699481865,0.8532110091743119,0.6920198544055502
38,2291.3779486999997,0.6920128464698792,0.951408091492389,0.9564914065212267,0.8652849740932642,0.8078602620087336,0.9585492227979274,0.8767772511848342,0.7436208278299944
39,2292.2131725,0.6848576664924622,0.953824263738624,0.9584742550044845,0.8860103626943006,0.8433179723502304,0.9481865284974094,0.8926829268292683,0.7780599289385959
40,2293.0750029,0.6722453832626343,0.9535558001557088,0.9583554287425252,0.8756476683937824,0.8280542986425339,0.9481865284974094,0.8840579710144928,0.7593288368438508
41,2293.8954535,0.662802517414093,0.9519718650165105,0.9568549945660564,0.8756476683937824,0.8280542986425339,0.9481865284974094,0.8840579710144928,0.7593288368438508
42,2294.7160105,0.6601492166519165,0.9557572015356116,0.9595609528452967,0.8782383419689119,0.8288288288288288,0.9533678756476683,0.8867469879518072,0.7651638514867657
43,2295.5547343,0.6535094380378723,0.9589787645305914,0.9625048884393878,0.8937823834196891,0.8486238532110092,0.9585492227979274,0.9002433090024331,0.7942563584594426
44,2296.4052054999997,0.6394999623298645,0.9591129963220489,0.9626734927370687,0.8937823834196891,0.8454545454545455,0.9637305699481865,0.9007263922518159,0.7953864780766137
45,2297.2555968,0.6380649209022522,0.9591129963220489,0.9627439443320875,0.8756476683937824,0.8222222222222222,0.9585492227979274,0.8851674641148325,0.761840059364464
46,2298.0850932999997,0.6338074207305908,0.9569921340170207,0.961447724579379,0.8886010362694301,0.8537735849056604,0.9378238341968912,0.893827160493827,0.7809958109579701
47,2298.9027215,0.6369808316230774,0.9571532121667696,0.9616314751458324,0.8937823834196891,0.861904761904762,0.9378238341968912,0.8982630272952854,0.7906378596476551
48,2299.7285638999997,0.6334793567657471,0.9587639936642595,0.9629339973937081,0.8704663212435233,0.8177777777777778,0.9533678756476683,0.8803827751196172,0.7513319206146093
49,2300.57482,0.6209579110145569,0.9598110016376278,0.9642769861476316,0.8704663212435233,0.8122270742358079,0.9637305699481865,0.8815165876777251,0.7541686409907035
50,2301.3961458999997,0.627754271030426,0.9604553142366238,0.964793364252605,0.8756476683937824,0.8222222222222222,0.9585492227979274,0.8851674641148325,0.761840059364464
51,2302.2440443,0.6188091039657593,0.9615023222099922,0.965819919618023,0.8756476683937824,0.8222222222222222,0.9585492227979274,0.8851674641148325,0.761840059364464
52,2303.0748168,0.6187911033630371,0.9628983328411501,0.9668863888158907,0.9067357512953368,0.8866995073891626,0.9326424870466321,0.9090909090909091,0.8145656434825006
53,2303.9402434999997,0.6143231987953186,0.9634621063652715,0.967316437902948,0.9196891191709845,0.9090909090909091,0.9326424870466321,0.9207161125319693,0.8396600583210159
54,2304.8047195,0.6105574369430542,0.9641601116808505,0.967687051664074,0.9196891191709845,0.905,0.9378238341968912,0.9211195928753181,0.8399308727316444
55,2305.6669778,0.6119551062583923,0.9646701924883889,0.9680526957521566,0.9119170984455959,0.8840579710144928,0.9481865284974094,0.9149999999999999,0.8260102491775857
