Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9211123215048492,0.912090936517527,-0.00902138498732219,False
AUPR,0.9165798744630697,0.9081035278971992,-0.008476346565870485,False
Accuracy,0.8482300489704876,0.8351162632667097,-0.013113785703777858,False
Precision,0.8558023560342514,0.8338150508301826,-0.021987305204068774,False
Recall,0.8386148891133967,0.8371523053431874,-0.001462583770209247,False
F1-score,0.8463780270567123,0.8354474546642674,-0.010930572392444882,False
Mcc,0.6976966193397897,0.6702907051306319,-0.027405914209157722,False
