epoch,time,loss,auc,aupr,accuracy,precision,recall,f1,mcc
1,4922.7678387,1.529820442199707,0.670546329422425,0.6260789217654441,0.5019762845849802,0.500990099009901,1.0,0.6675461741424802,0.04449941594899848
2,4923.6886306999995,1.3934489488601685,0.7342248746270057,0.6950402097691466,0.5,0.5,1.0,0.6666666666666666,0.0
3,4924.5724599,1.3253744840621948,0.7650642878345233,0.738553038525127,0.5158102766798419,0.5080321285140562,1.0,0.673768308921438,0.12674485010489558
4,4925.4886539,1.2971384525299072,0.782124388757831,0.7593540704455584,0.5177865612648221,0.5090543259557344,1.0,0.6746666666666667,0.13456839120487699
5,4926.4043913,1.2757556438446045,0.7874830102016903,0.7606387712011716,0.5217391304347826,0.5111111111111111,1.0,0.676470588235294,0.14907119849998599
6,4927.305893399999,1.2655423879623413,0.7919198862659939,0.7733346830593387,0.5276679841897233,0.5142276422764228,1.0,0.6791946308724833,0.16868694244915794
7,4928.2170312,1.245789885520935,0.7995125685450484,0.7832234123571359,0.6047430830039525,0.5595505617977528,0.9841897233201581,0.7134670487106017,0.32168510084797286
8,4929.124129,1.2305046319961548,0.8108703463575435,0.7954421175620255,0.6225296442687747,0.5711009174311926,0.9841897233201581,0.7227866473149491,0.3548946274493296
9,4930.0387272,1.2102526426315308,0.8260400881126092,0.8122336077590895,0.6383399209486166,0.5817757009345794,0.9841897233201581,0.7312775330396476,0.38311473361559417
10,4930.941841,1.1944942474365234,0.8407255229733319,0.828228648549631,0.66600790513834,0.6019417475728155,0.9802371541501976,0.7458646616541353,0.42684161186498687
11,4931.865594,1.190890908241272,0.8526925901045165,0.8400390198136634,0.6205533596837944,0.5688487584650113,0.9960474308300395,0.7241379310344828,0.3651385588871878
12,4932.8525721999995,1.1719890832901,0.8620662719305098,0.8501761154409551,0.691699604743083,0.6221662468513854,0.9762845849802372,0.76,0.46629765554885183
13,4933.758219699999,1.1564862728118896,0.8717992782264994,0.8611100676089096,0.6739130434782609,0.606280193236715,0.9920948616600791,0.7526236881559221,0.45090867206098684
14,4934.6416013,1.141573429107666,0.8794075833085973,0.8720736029637228,0.6956521739130435,0.6234413965087282,0.9881422924901185,0.764525993883792,0.48246782778236136
15,4935.5582402,1.1298832893371582,0.8848443187676732,0.8796335606066447,0.7114624505928854,0.6368286445012787,0.9841897233201581,0.7732919254658385,0.5045991084042654
16,4936.4812984,1.1232961416244507,0.8902029402115328,0.8856664753359231,0.6936758893280632,0.6218905472636815,0.9881422924901185,0.7633587786259541,0.47928780561612766
17,4937.360899099999,1.1076500415802002,0.89409301816932,0.8901583013173892,0.6956521739130435,0.6234413965087282,0.9881422924901185,0.764525993883792,0.48246782778236136
18,4938.3436833,1.0947470664978027,0.8968426315049447,0.8933493654910972,0.7470355731225297,0.670299727520436,0.9723320158102767,0.7935483870967742,0.553438771642915
19,4939.297678999999,1.0901285409927368,0.8984830258244935,0.8950960174523535,0.7351778656126482,0.6578249336870027,0.9802371541501976,0.7873015873015874,0.5396117913899104
20,4940.1826329,1.0730925798416138,0.9015919636301145,0.8984601175518923,0.7035573122529645,0.6290726817042607,0.9920948616600791,0.7699386503067485,0.49849279779082495
21,4941.0591337999995,1.0617390871047974,0.9049821118905153,0.9021854904124333,0.7391304347826086,0.6613333333333333,0.9802371541501976,0.7898089171974522,0.5459263901018793
22,4941.9512638999995,1.0602773427963257,0.9084191285600464,0.9055625465279279,0.7569169960474308,0.6775956284153005,0.9802371541501976,0.801292407108239,0.574299967587734
23,4942.8727799,1.0463582277297974,0.9116530487900139,0.9083632338786705,0.7608695652173914,0.6813186813186813,0.9802371541501976,0.8038897893030795,0.5806027214870008
24,4943.7935560999995,1.03596830368042,0.9149963286412849,0.9116578343738643,0.733201581027668,0.6544502617801047,0.9881422924901185,0.7874015748031495,0.5421749939208765
25,4944.676818999999,1.0310163497924805,0.9177459419769095,0.9145184917836722,0.7628458498023716,0.6842105263157895,0.9762845849802372,0.8045602605863192,0.5813183589761798
26,4945.5963016,1.0217289924621582,0.9201987220547111,0.9171900139021034,0.782608695652174,0.7060518731988472,0.9683794466403162,0.8166666666666667,0.6087973283546528
27,4946.523421299999,1.016265869140625,0.9226358793294693,0.9202618422057747,0.7964426877470355,0.7218934911242604,0.9644268774703557,0.8257191201353639,0.6294746833730549
28,4947.4720349,1.0131280422210693,0.9243387648611914,0.9219904995923324,0.7727272727272727,0.6938202247191011,0.9762845849802372,0.8111658456486042,0.5971844049229234
29,4948.356880099999,1.0002193450927734,0.9258073083472637,0.9237243556839043,0.7628458498023716,0.6821917808219178,0.9841897233201581,0.8058252427184465,0.5862672743822235
30,4949.2407599,0.9851861000061035,0.9276976675155058,0.9255800325046525,0.7766798418972332,0.6966292134831461,0.9802371541501976,0.8144499178981939,0.6058392513710816
31,4950.1232302,0.9954480528831482,0.9290568513802747,0.9268188964191624,0.766798418972332,0.684931506849315,0.9881422924901185,0.8090614886731391,0.5950833236210539
32,4951.046154799999,0.9800989627838135,0.9304472808511303,0.9281436874141833,0.7648221343873518,0.6830601092896175,0.9881422924901185,0.8077544426494345,0.5919707358212029
33,4951.930441199999,0.9802165031433105,0.9316658594885094,0.9292495200231536,0.8102766798418972,0.7371601208459214,0.9644268774703557,0.8356164383561645,0.6523289176727569
34,4952.8519324,0.9728723764419556,0.9324001312315455,0.9298401404653068,0.7964426877470355,0.7180232558139535,0.9762845849802372,0.8274706867671692,0.6354107097191861
35,4953.7353709,0.9665992259979248,0.9331812713837118,0.9304382821211669,0.7984189723320159,0.7201166180758017,0.9762845849802372,0.8288590604026845,0.6386105443501277
36,4954.623501499999,0.9551323652267456,0.934165507975441,0.9315524323335038,0.808300395256917,0.7307692307692307,0.9762845849802372,0.8358714043993232,0.6546536707079771
37,4955.5343287999995,0.9564394950866699,0.9357746566889031,0.9334279792562657,0.8142292490118577,0.7373134328358208,0.9762845849802372,0.8401360544217686,0.664318987537957
38,4956.450276799999,0.9419625997543335,0.9366807792654158,0.9344699611820706,0.8181818181818182,0.7417417417417418,0.9762845849802372,0.8430034129692833,0.6707809306200297
39,4957.3641689,0.9500739574432373,0.9382586823727913,0.9362902984386787,0.8656126482213439,0.8178694158075601,0.9407114624505929,0.8749999999999999,0.7396154998841117
40,4958.2814640999995,0.9430380463600159,0.9394772610101705,0.9375433549362564,0.8675889328063241,0.8206896551724138,0.9407114624505929,0.8766114180478822,0.7431681173023454
41,4959.1962705999995,0.9317249655723572,0.940477120404943,0.9387514009157204,0.8715415019762845,0.8263888888888888,0.9407114624505929,0.8798521256931607,0.7502972567565686
42,4960.1111507,0.9318268299102783,0.9414613569966723,0.9397635501776941,0.8102766798418972,0.7315634218289085,0.9802371541501976,0.8378378378378377,0.6598444493446934
43,4960.995989599999,0.9293307065963745,0.9419456638910153,0.9399534661271387,0.8162055335968379,0.7380952380952381,0.9802371541501976,0.8421052631578947,0.6694619270045784
44,4961.879826799999,0.927696704864502,0.9426174444218782,0.9406171515709786,0.8181818181818182,0.7402985074626866,0.9802371541501976,0.8435374149659864,0.6726752012176798
45,4962.764676899999,0.9224728941917419,0.9430705057101345,0.9411503171572059,0.8221343873517787,0.7447447447447447,0.9802371541501976,0.8464163822525598,0.6791136129879803
46,4963.6494341,0.9168612957000732,0.9434142073770876,0.9413695952559138,0.8221343873517787,0.7447447447447447,0.9802371541501976,0.8464163822525598,0.6791136129879803
47,4964.532710199999,0.9179730415344238,0.944070365104907,0.9421780055538926,0.8359683794466403,0.7639751552795031,0.9723320158102767,0.8556521739130435,0.6984126131692242
48,4965.4193847999995,0.9084857106208801,0.9444765579840335,0.9429022071540322,0.8320158102766798,0.7576687116564417,0.9762845849802372,0.853195164075993,0.6935283664652979
49,4966.308641899999,0.9153095483779907,0.9448515052570732,0.9434243006707285,0.8320158102766798,0.7576687116564417,0.9762845849802372,0.853195164075993,0.6935283664652979
50,4967.1945919,0.9095271825790405,0.9454295489696761,0.9441063016664216,0.8300395256916996,0.7553516819571865,0.9762845849802372,0.8517241379310344,0.6902653597654894
