Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9211123215048492,0.897174709329995,-0.02393761217485424,False
AUPR,0.9165798744630697,0.8928131451090051,-0.023766729354064542,False
Accuracy,0.8482300489704876,0.8169797965414943,-0.031250252428993264,False
Precision,0.8558023560342514,0.7930910280247915,-0.06271132800945989,False
Recall,0.8386148891133967,0.8585474365121633,0.019932547398766598,True
F1-score,0.8463780270567123,0.8243437564926133,-0.022034270564099012,False
Mcc,0.6976966193397897,0.6364589522473972,-0.06123766709239242,False
