Metric,Value,Best_Epoch
Final AUC,0.5400288656172008,3
Final AUPR,0.5268101022316775,3
Final Accuracy,0.5,3
Final Precision,0.5,3
Final Recall,1.0,3
Final F1,0.6666666666666666,3
Final MCC,0.0,3
