Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,819.69,0.60322,0.60061,0.50204,0.7,0.0076,0.01504,0.02954
2,823.71,0.60112,0.60355,0.50204,0.9,0.00489,0.00972,0.04173
3,827.45,0.59719,0.60509,0.50014,1.0,0.00054,0.00109,0.01648
4,831.15,0.59125,0.60373,0.49986,0.0,0.0,0.0,0.0
5,834.91,0.58454,0.60068,0.49986,0.0,0.0,0.0,0.0
6,838.63,0.57596,0.59462,0.49986,0.0,0.0,0.0,0.0
7,842.35,0.56711,0.58743,0.49986,0.0,0.0,0.0,0.0
8,846.22,0.55857,0.57983,0.49986,0.0,0.0,0.0,0.0
9,849.94,0.55097,0.57177,0.49986,0.0,0.0,0.0,0.0
10,853.64,0.54522,0.56409,0.49986,0.0,0.0,0.0,0.0
11,857.45,0.54047,0.55705,0.49986,0.0,0.0,0.0,0.0
12,861.17,0.53641,0.55001,0.49986,0.0,0.0,0.0,0.0
13,864.96,0.53198,0.54184,0.49986,0.0,0.0,0.0,0.0
14,868.67,0.52802,0.53389,0.49986,0.0,0.0,0.0,0.0
15,872.49,0.52419,0.52585,0.49986,0.0,0.0,0.0,0.0
16,876.27,0.52061,0.51883,0.49986,0.0,0.0,0.0,0.0
17,879.96,0.51692,0.51345,0.49986,0.0,0.0,0.0,0.0
18,883.8,0.5135,0.50939,0.49986,0.0,0.0,0.0,0.0
19,887.59,0.51071,0.50633,0.49986,0.0,0.0,0.0,0.0
20,891.4,0.5084,0.50373,0.49986,0.0,0.0,0.0,0.0
21,895.07,0.50758,0.50206,0.49986,0.0,0.0,0.0,0.0
22,898.78,0.50708,0.50065,0.49986,0.0,0.0,0.0,0.0
23,902.54,0.50696,0.49993,0.49986,0.0,0.0,0.0,0.0
24,906.22,0.5069,0.49943,0.49986,0.0,0.0,0.0,0.0
25,909.91,0.50689,0.499,0.49986,0.0,0.0,0.0,0.0
26,913.62,0.50698,0.49885,0.49986,0.0,0.0,0.0,0.0
27,917.31,0.50723,0.49887,0.49986,0.0,0.0,0.0,0.0
28,921.05,0.50765,0.49897,0.49986,0.0,0.0,0.0,0.0
29,924.78,0.50817,0.49912,0.49986,0.0,0.0,0.0,0.0
30,928.57,0.50899,0.49964,0.49986,0.0,0.0,0.0,0.0
31,932.26,0.50977,0.50009,0.49986,0.0,0.0,0.0,0.0
32,935.94,0.51053,0.50064,0.49986,0.0,0.0,0.0,0.0
33,939.6,0.51124,0.50112,0.49986,0.0,0.0,0.0,0.0
34,943.32,0.51198,0.50165,0.49986,0.0,0.0,0.0,0.0
35,946.98,0.51276,0.50236,0.49986,0.0,0.0,0.0,0.0
36,950.68,0.51331,0.50301,0.49986,0.0,0.0,0.0,0.0
37,954.44,0.51402,0.50383,0.49986,0.0,0.0,0.0,0.0
38,958.13,0.51457,0.50456,0.49986,0.0,0.0,0.0,0.0
39,961.99,0.51509,0.50514,0.49986,0.0,0.0,0.0,0.0
40,965.83,0.51577,0.50601,0.49986,0.0,0.0,0.0,0.0
41,969.84,0.51644,0.5068,0.49986,0.0,0.0,0.0,0.0
42,973.72,0.51716,0.5078,0.49986,0.0,0.0,0.0,0.0
43,977.81,0.51787,0.50881,0.49986,0.0,0.0,0.0,0.0
44,981.58,0.51829,0.50927,0.49986,0.0,0.0,0.0,0.0
45,985.32,0.51875,0.50978,0.49986,0.0,0.0,0.0,0.0
46,989.15,0.51931,0.51032,0.49986,0.0,0.0,0.0,0.0
47,993.0,0.51994,0.51092,0.49986,0.0,0.0,0.0,0.0
48,996.67,0.52059,0.51152,0.49986,0.0,0.0,0.0,0.0
49,1000.39,0.52129,0.51222,0.49986,0.0,0.0,0.0,0.0
50,1004.16,0.52211,0.51309,0.49986,0.0,0.0,0.0,0.0
51,1007.95,0.52293,0.51381,0.49986,0.0,0.0,0.0,0.0
