Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,1845.23,0.57477,0.56682,0.49959,0.49973,0.99837,0.66606,-0.00738
2,1849.27,0.57348,0.56793,0.50312,0.50151,0.99511,0.66691,0.03622
3,1853.13,0.57117,0.56805,0.50448,0.5022,0.99185,0.66679,0.04109
4,1857.06,0.56789,0.5672,0.50502,0.50249,0.98642,0.66581,0.03801
5,1860.9,0.56423,0.56572,0.50692,0.50353,0.96958,0.66283,0.03712
6,1864.9,0.56014,0.56425,0.50367,0.50193,0.91798,0.649,0.01349
7,1868.72,0.5555,0.56255,0.50529,0.50309,0.84085,0.62952,0.01453
8,1872.5,0.5501,0.56005,0.51806,0.51249,0.73547,0.60406,0.04023
9,1876.3,0.54462,0.55785,0.52512,0.52286,0.57143,0.54607,0.05047
10,1880.26,0.5393,0.55467,0.54113,0.56286,0.36719,0.44444,0.08765
11,1884.08,0.53421,0.55136,0.53245,0.61644,0.1711,0.26786,0.09358
12,1887.89,0.52938,0.5477,0.51235,0.67717,0.04671,0.0874,0.06701
13,1891.65,0.52439,0.54355,0.50231,0.83333,0.00543,0.01079,0.03813
14,1895.45,0.51981,0.53972,0.50014,0.0,0.0,0.0,0.0
15,1899.22,0.51612,0.53666,0.50014,0.0,0.0,0.0,0.0
16,1902.95,0.51338,0.53551,0.50014,0.0,0.0,0.0,0.0
17,1906.75,0.51094,0.53442,0.50014,0.0,0.0,0.0,0.0
18,1910.56,0.50904,0.53409,0.50014,0.0,0.0,0.0,0.0
19,1914.41,0.50805,0.535,0.50014,0.0,0.0,0.0,0.0
20,1918.41,0.50659,0.53572,0.50014,0.0,0.0,0.0,0.0
21,1922.24,0.50508,0.53649,0.50014,0.0,0.0,0.0,0.0
22,1926.04,0.50321,0.53664,0.50014,0.0,0.0,0.0,0.0
23,1929.85,0.50224,0.53683,0.50014,0.0,0.0,0.0,0.0
24,1933.78,0.50106,0.53674,0.50014,0.0,0.0,0.0,0.0
25,1937.72,0.49953,0.53648,0.50014,0.0,0.0,0.0,0.0
26,1941.63,0.49785,0.53597,0.50014,0.0,0.0,0.0,0.0
27,1945.44,0.49611,0.53526,0.50014,0.0,0.0,0.0,0.0
28,1949.16,0.49413,0.53407,0.50014,0.0,0.0,0.0,0.0
29,1953.14,0.492,0.53292,0.50014,0.0,0.0,0.0,0.0
30,1956.94,0.49002,0.53188,0.50014,0.0,0.0,0.0,0.0
31,1960.76,0.48794,0.53063,0.50014,0.0,0.0,0.0,0.0
32,1964.53,0.48568,0.52908,0.50014,0.0,0.0,0.0,0.0
33,1968.47,0.48328,0.52733,0.50014,0.0,0.0,0.0,0.0
34,1972.55,0.48116,0.5258,0.50014,0.0,0.0,0.0,0.0
35,1976.41,0.47883,0.52322,0.50014,0.0,0.0,0.0,0.0
36,1980.14,0.4767,0.52062,0.50014,0.0,0.0,0.0,0.0
37,1983.92,0.47459,0.51789,0.50014,0.0,0.0,0.0,0.0
38,1987.68,0.47267,0.51539,0.50014,0.0,0.0,0.0,0.0
39,1991.44,0.47089,0.51304,0.50014,0.0,0.0,0.0,0.0
40,1995.25,0.46922,0.51054,0.50014,0.0,0.0,0.0,0.0
41,1999.03,0.46757,0.50814,0.50014,0.0,0.0,0.0,0.0
42,2002.89,0.46609,0.50574,0.50014,0.0,0.0,0.0,0.0
43,2006.65,0.46484,0.50332,0.50014,0.0,0.0,0.0,0.0
44,2010.36,0.4643,0.5023,0.50014,0.0,0.0,0.0,0.0
45,2014.14,0.4638,0.50117,0.50014,0.0,0.0,0.0,0.0
46,2017.94,0.46328,0.50032,0.50014,0.0,0.0,0.0,0.0
47,2021.72,0.46282,0.4993,0.50014,0.0,0.0,0.0,0.0
48,2025.54,0.46249,0.49828,0.50014,0.0,0.0,0.0,0.0
49,2029.31,0.46217,0.4972,0.50014,0.0,0.0,0.0,0.0
50,2033.1,0.46188,0.49621,0.50014,0.0,0.0,0.0,0.0
51,2036.9,0.46162,0.49521,0.50014,0.0,0.0,0.0,0.0
