Metric,Value,Best_Epoch
Final AUC,0.5454940872077148,1
Final AUPR,0.5440338154066481,1
Final Accuracy,0.4963345099103991,1
Final Precision,0.49801474758933634,1
Final Recall,0.9538294405214557,1
Final F1,0.6543692938326812,1
Final MCC,-0.017529686655670205,1
