Fold,Best_Epoch,AUC,AUPR,Accuracy,Precision,Recall,F1-score,Mcc
Fold 0,1,0.6556907659269864,0.6850338381404287,0.5009861932938856,0.5009861932938856,1.0,0.6675427069645203,0.0
Fold 1,1,0.6337415579969499,0.6254349558127257,0.5009861932938856,0.5009861932938856,1.0,0.6675427069645203,0.0
Fold 2,1,0.5975304223335719,0.5753876773483162,0.4990138067061144,0.4990138067061144,1.0,0.6657894736842105,0.0
Fold 3,4,0.5,0.7495069033530573,0.4990138067061144,0.4990138067061144,1.0,0.6657894736842105,0.0
Fold 4,4,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 5,4,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 6,4,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 7,4,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 8,1,0.5944476557984033,0.5831681665092028,0.5,0.5,1.0,0.6666666666666666,0.0
Fold 9,4,0.5,0.75,0.5,0.5,1.0,0.6666666666666666,0.0
Mean,,0.5481410402055911,0.696853154116373,0.5,0.5,1.0,0.6666664361297462,0.0
Std,,0.06114193681590264,0.07057885460843193,0.0006237234043724646,0.0006237234043724646,0.0,0.0005544211154343888,0.0
