Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,201.12,0.3097,0.39564,0.49901,0.49901,1.0,0.66579,0.0
2,202.57,0.25482,0.37476,0.49901,0.49901,1.0,0.66579,0.0
3,204.04,0.24946,0.37067,0.49901,0.49901,1.0,0.66579,0.0
4,205.37,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
5,206.75,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
6,208.08,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
7,209.68,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
8,215.36,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
9,216.91,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
10,218.17,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
11,219.32,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
12,220.54,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
13,221.88,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
14,223.17,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
15,224.45,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
16,225.72,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
17,226.9,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
18,228.2,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
19,229.47,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
20,230.78,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
21,232.18,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
22,233.53,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
23,234.93,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
24,236.31,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
25,237.69,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
26,238.93,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
27,240.26,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
28,241.46,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
29,242.68,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
30,243.84,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
31,245.1,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
32,246.34,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
33,247.68,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
34,248.95,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
35,250.19,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
36,251.45,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
37,252.77,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
38,254.04,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
39,255.32,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
40,256.72,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
41,257.95,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
42,259.2,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
43,260.53,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
44,261.78,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
45,263.05,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
46,264.29,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
47,265.59,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
48,266.88,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
49,268.16,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
50,269.45,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
51,270.83,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
52,272.13,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
53,273.46,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
54,274.91,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
