Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,475.68,0.40252,0.44478,0.5,0.5,1.0,0.66667,0.0
2,477.05,0.44416,0.49474,0.5,0.5,1.0,0.66667,0.0
3,478.3,0.40501,0.48674,0.5,0.5,1.0,0.66667,0.0
4,479.44,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
5,480.73,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
6,481.84,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
7,483.93,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
8,486.52,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
9,487.68,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
10,488.78,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
11,489.83,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
12,490.91,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
13,491.98,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
14,493.12,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
15,494.25,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
16,495.51,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
17,496.71,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
18,497.87,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
19,498.96,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
20,500.02,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
21,501.08,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
22,502.23,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
23,503.43,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
24,504.53,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
25,505.59,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
26,506.77,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
27,507.97,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
28,509.19,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
29,510.45,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
30,511.75,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
31,512.89,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
32,514.0,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
33,515.08,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
34,516.16,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
35,517.22,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
36,518.28,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
37,519.45,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
38,520.78,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
39,522.04,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
40,523.19,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
41,524.42,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
42,525.6,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
43,526.79,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
44,528.02,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
45,529.14,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
46,530.3,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
47,531.62,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
48,532.87,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
49,533.98,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
50,535.06,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
51,536.31,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
52,537.5,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
53,538.75,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
54,539.88,0.5,0.75,0.5,0.5,1.0,0.66667,0.0
