Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,68.68,0.63374,0.62543,0.50099,0.50099,1.0,0.66754,0.0
2,69.94,0.43916,0.46256,0.50099,0.50099,1.0,0.66754,0.0
3,71.28,0.29001,0.37758,0.50099,0.50099,1.0,0.66754,0.0
4,72.55,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
5,73.9,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
6,75.18,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
7,81.41,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
8,83.95,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
9,85.23,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
10,86.51,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
11,87.74,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
12,89.01,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
13,90.32,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
14,91.59,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
15,92.78,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
16,94.12,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
17,95.38,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
18,96.76,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
19,98.08,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
20,99.47,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
21,100.79,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
22,102.12,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
23,103.38,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
24,104.62,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
25,105.96,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
26,107.14,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
27,108.36,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
28,109.65,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
29,110.9,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
30,112.11,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
31,113.43,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
32,114.77,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
33,116.11,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
34,117.41,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
35,118.73,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
36,120.09,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
37,121.37,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
38,122.61,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
39,123.72,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
40,125.08,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
41,126.42,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
42,127.69,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
43,128.95,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
44,130.24,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
45,131.63,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
46,132.96,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
47,134.2,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
48,135.46,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
49,136.65,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
50,137.95,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
51,139.32,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
