Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,129.45,0.59754,0.5754,0.49901,0.49901,1.0,0.66579,0.0
2,130.83,0.2626,0.36806,0.49901,0.49901,1.0,0.66579,0.0
3,132.11,0.25026,0.36761,0.49901,0.49901,1.0,0.66579,0.0
4,133.44,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
5,134.77,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
6,136.09,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
7,137.45,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
8,144.86,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
9,146.57,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
10,147.77,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
11,149.08,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
12,150.39,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
13,151.73,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
14,153.0,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
15,154.29,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
16,155.6,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
17,156.8,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
18,158.04,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
19,159.35,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
20,160.69,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
21,161.94,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
22,163.17,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
23,164.46,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
24,165.72,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
25,167.02,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
26,168.31,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
27,169.55,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
28,170.83,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
29,172.04,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
30,173.19,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
31,174.27,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
32,175.5,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
33,176.73,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
34,178.0,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
35,179.39,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
36,180.75,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
37,182.0,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
38,183.14,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
39,184.36,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
40,185.68,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
41,186.98,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
42,188.31,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
43,189.53,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
44,190.68,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
45,191.89,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
46,193.15,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
47,194.38,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
48,195.69,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
49,196.93,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
50,198.22,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
51,199.46,0.5,0.74951,0.49901,0.49901,1.0,0.66579,0.0
