Epoch,Time,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
1,2.26,0.65569,0.68503,0.50099,0.50099,1.0,0.66754,0.0
2,3.59,0.56404,0.57951,0.50099,0.50099,1.0,0.66754,0.0
3,4.82,0.4803,0.61181,0.50099,0.50099,1.0,0.66754,0.0
4,5.95,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
5,7.04,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
6,8.42,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
7,11.18,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
8,12.3,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
9,13.47,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
10,14.72,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
11,15.84,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
12,17.02,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
13,18.24,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
14,19.37,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
15,20.48,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
16,21.8,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
17,22.95,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
18,24.05,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
19,25.21,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
20,26.48,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
21,27.77,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
22,29.01,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
23,30.25,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
24,31.45,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
25,32.66,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
26,33.86,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
27,35.07,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
28,36.33,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
29,37.51,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
30,38.61,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
31,39.76,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
32,40.96,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
33,42.24,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
34,43.55,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
35,44.79,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
36,46.08,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
37,47.27,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
38,48.35,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
39,49.44,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
40,50.59,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
41,51.79,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
42,52.98,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
43,54.21,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
44,55.38,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
45,56.46,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
46,57.59,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
47,58.67,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
48,59.79,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
49,60.97,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
50,62.31,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
51,63.47,0.5,0.75049,0.50099,0.50099,1.0,0.66754,0.0
