Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9521281135894328,0.9664277640609186,0.014299650471485736,True
AUPR,0.9510014728454216,0.9706766351625937,0.019675162317172146,True
Accuracy,0.8836044503353817,0.9229083825360485,0.03930393220066675,True
Precision,0.870085185342966,0.9239540288167438,0.05386884347377785,True
Recall,0.902721542652636,0.924480529886224,0.021758987233587934,True
F1-score,0.8857901001484304,0.9233920792937884,0.03760197914535801,True
Mcc,0.7683400524309331,0.8473247174284634,0.07898466499753032,True
