Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9521281135894328,0.9670839776228684,0.014955864033435518,True
AUPR,0.9510014728454216,0.9736375669401192,0.02263609409469758,True
Accuracy,0.8836044503353817,0.9348181173099839,0.05121366697460217,True
Precision,0.870085185342966,0.9558524676927375,0.08576728234977149,True
Recall,0.902721542652636,0.9120773462956038,0.00935580364296773,False
F1-score,0.8857901001484304,0.9331821847777212,0.04739208462929079,True
Mcc,0.7683400524309331,0.8709852206498218,0.1026451682188887,True
