Metric,Baseline,Improved,Delta,Pass_0.01
AUC,0.9611238970700848,0.9735709471465812,0.01244705007649638,True
AUPR,0.9598856875417164,0.9781584967589136,0.018272809217197206,True
Accuracy,0.8980962181631078,0.941352293191758,0.04325607502865014,True
Precision,0.8872714754132052,0.9510786302315504,0.0638071548183452,True
Recall,0.91349942423205,0.9308953969686596,0.017395972736609644,True
F1-score,0.8997884800694154,0.9406535846173141,0.04086510454789871,True
Mcc,0.7972959521227869,0.8833039693198668,0.08600801719707984,True
